Name,Quantity,Component
"P1",1,"5 , 5  Power Supply"
"U1",1," 4-Bit Binary Counter"
"U2",1," 7-Segment Decoder"
"Digit1",1,"Cathode 7 Segment Display"
"R1",1," Photoresistor"
"R2",1,"10 kΩ Resistor"
"R3",1,"1 kΩ Resistor"
